pid 3355117, 8.0 h, base /tmp/pang_soak_vpo9ql_i
   5.0 min  cpu=1.53%  rss=121.6 MB (+0.02)
  10.0 min  cpu=1.49%  rss=121.7 MB (+0.06)
  15.0 min  cpu=1.47%  rss=121.7 MB (+0.09)
  20.0 min  cpu=1.46%  rss=121.7 MB (+0.09)
  25.0 min  cpu=1.45%  rss=121.7 MB (+0.09)
  30.0 min  cpu=1.44%  rss=121.7 MB (+0.09)
  35.0 min  cpu=1.45%  rss=121.7 MB (+0.09)
  40.0 min  cpu=1.45%  rss=121.7 MB (+0.09)
  45.0 min  cpu=1.46%  rss=121.7 MB (+0.11)
  50.0 min  cpu=1.46%  rss=121.7 MB (+0.11)
  55.0 min  cpu=1.45%  rss=121.8 MB (+0.18)
  60.0 min  cpu=1.45%  rss=121.8 MB (+0.18)
  65.0 min  cpu=1.44%  rss=121.8 MB (+0.18)
  70.0 min  cpu=1.44%  rss=121.8 MB (+0.18)
  75.0 min  cpu=1.44%  rss=121.8 MB (+0.18)
  80.0 min  cpu=1.44%  rss=121.8 MB (+0.18)
  85.0 min  cpu=1.44%  rss=121.8 MB (+0.18)
  90.0 min  cpu=1.44%  rss=121.8 MB (+0.18)
  95.0 min  cpu=1.44%  rss=121.8 MB (+0.18)
 100.0 min  cpu=1.45%  rss=121.8 MB (+0.18)
 105.0 min  cpu=1.45%  rss=121.8 MB (+0.18)
 110.0 min  cpu=1.46%  rss=121.8 MB (+0.18)
 115.0 min  cpu=1.46%  rss=121.8 MB (+0.18)
 120.0 min  cpu=1.46%  rss=121.6 MB (+-0.05)
 125.0 min  cpu=1.46%  rss=121.5 MB (+-0.11)
 130.0 min  cpu=1.46%  rss=121.5 MB (+-0.11)
 135.0 min  cpu=1.46%  rss=121.5 MB (+-0.11)
 140.0 min  cpu=1.45%  rss=121.5 MB (+-0.11)
 145.0 min  cpu=1.45%  rss=121.5 MB (+-0.11)
 150.0 min  cpu=1.45%  rss=121.5 MB (+-0.11)
 155.0 min  cpu=1.45%  rss=121.5 MB (+-0.11)
 160.0 min  cpu=1.45%  rss=121.5 MB (+-0.11)
 165.0 min  cpu=1.44%  rss=121.5 MB (+-0.11)
 170.0 min  cpu=1.45%  rss=121.5 MB (+-0.11)
 175.0 min  cpu=1.45%  rss=121.5 MB (+-0.14)
 180.0 min  cpu=1.45%  rss=121.5 MB (+-0.14)
 185.0 min  cpu=1.45%  rss=121.4 MB (+-0.17)
 190.0 min  cpu=1.44%  rss=121.4 MB (+-0.17)
 195.0 min  cpu=1.43%  rss=121.4 MB (+-0.17)
 200.0 min  cpu=1.43%  rss=121.4 MB (+-0.17)
 205.0 min  cpu=1.43%  rss=121.4 MB (+-0.19)
 210.0 min  cpu=1.43%  rss=121.4 MB (+-0.19)
 215.0 min  cpu=1.43%  rss=120.5 MB (+-1.12)
 220.0 min  cpu=1.44%  rss=120.5 MB (+-1.12)
 225.0 min  cpu=1.44%  rss=120.5 MB (+-1.12)
 230.0 min  cpu=1.44%  rss=120.5 MB (+-1.12)
 235.0 min  cpu=1.43%  rss=120.5 MB (+-1.12)
 240.0 min  cpu=1.43%  rss=120.5 MB (+-1.12)
 245.0 min  cpu=1.43%  rss=120.5 MB (+-1.12)
 250.0 min  cpu=1.43%  rss=120.5 MB (+-1.12)
 255.0 min  cpu=1.44%  rss=120.5 MB (+-1.12)
 260.0 min  cpu=1.44%  rss=120.5 MB (+-1.12)
 265.0 min  cpu=1.44%  rss=120.5 MB (+-1.12)
 270.0 min  cpu=1.44%  rss=120.5 MB (+-1.12)
 275.0 min  cpu=1.44%  rss=120.5 MB (+-1.12)
 280.0 min  cpu=1.45%  rss=120.5 MB (+-1.12)
 285.0 min  cpu=1.45%  rss=120.5 MB (+-1.12)
 290.0 min  cpu=1.45%  rss=120.5 MB (+-1.12)
 295.0 min  cpu=1.45%  rss=120.5 MB (+-1.12)
 300.0 min  cpu=1.45%  rss=120.5 MB (+-1.12)
 305.0 min  cpu=1.45%  rss=120.5 MB (+-1.12)
 310.0 min  cpu=1.46%  rss=120.5 MB (+-1.12)
 315.0 min  cpu=1.46%  rss=120.5 MB (+-1.12)
 320.0 min  cpu=1.46%  rss=120.5 MB (+-1.12)
 325.0 min  cpu=1.46%  rss=120.5 MB (+-1.12)
 330.0 min  cpu=1.46%  rss=120.5 MB (+-1.12)
 335.0 min  cpu=1.46%  rss=120.4 MB (+-1.18)
 340.0 min  cpu=1.46%  rss=120.4 MB (+-1.18)
 345.0 min  cpu=1.46%  rss=120.4 MB (+-1.18)
 350.0 min  cpu=1.46%  rss=120.4 MB (+-1.18)
 355.0 min  cpu=1.45%  rss=120.4 MB (+-1.18)
 360.0 min  cpu=1.45%  rss=120.4 MB (+-1.18)
 365.0 min  cpu=1.45%  rss=120.4 MB (+-1.18)
 370.0 min  cpu=1.45%  rss=120.4 MB (+-1.18)
 375.0 min  cpu=1.45%  rss=120.4 MB (+-1.18)
 380.0 min  cpu=1.45%  rss=120.4 MB (+-1.18)
 385.0 min  cpu=1.45%  rss=120.4 MB (+-1.18)
 390.0 min  cpu=1.45%  rss=120.4 MB (+-1.18)
 395.0 min  cpu=1.45%  rss=120.4 MB (+-1.18)
 400.0 min  cpu=1.45%  rss=120.4 MB (+-1.18)
 405.0 min  cpu=1.45%  rss=120.4 MB (+-1.18)
 410.0 min  cpu=1.45%  rss=120.4 MB (+-1.18)
 415.0 min  cpu=1.45%  rss=120.4 MB (+-1.18)
 420.0 min  cpu=1.44%  rss=120.4 MB (+-1.18)
 425.0 min  cpu=1.44%  rss=120.4 MB (+-1.18)
 430.0 min  cpu=1.44%  rss=120.4 MB (+-1.18)
 435.0 min  cpu=1.44%  rss=120.4 MB (+-1.18)
 440.0 min  cpu=1.44%  rss=120.4 MB (+-1.18)
 445.0 min  cpu=1.44%  rss=120.4 MB (+-1.18)
 450.0 min  cpu=1.44%  rss=120.4 MB (+-1.18)
 455.0 min  cpu=1.44%  rss=120.4 MB (+-1.18)
 460.0 min  cpu=1.44%  rss=120.4 MB (+-1.18)
 465.0 min  cpu=1.44%  rss=120.4 MB (+-1.18)
 470.0 min  cpu=1.44%  rss=120.4 MB (+-1.18)
 475.0 min  cpu=1.44%  rss=120.4 MB (+-1.18)
 480.0 min  cpu=1.43%  rss=120.4 MB (+-1.18)

=== RB-07 — execucao prolongada ===
duracao                8.00 h
cpu media              1.43 %   (limite 3.0)
rss inicial / final    121.6 / 120.4 MB
crescimento de rss     -1.18 MB   (limite 5.0)
interrupcoes de audio  0   (limite 0)
xruns do PipeWire      0

RESULTADO: dentro dos limites
